grid;institution_name;country_code;country;region;global_n_s;latitude;longitude;organization_type_id;organization_type;p_full;tncs;mncs;pp_top_prop1;pp_collab;pp_int_collab;pp_top_prop5;pp_top_prop10;pp_top_prop20;pp_top_prop50;native_count;newcomer_count;outgoer_count;total_researcher_count;native_percentage;newcomer_percentage;outgoer_percentage;p_rnk;tncs_rnk;mncs_rnk;pp_collab_rnk;pp_int_collab_rnk;pp_top_prop1_rnk;pp_top_prop5_rnk;pp_top_prop10_rnk;pp_top_prop20_rnk;pp_top_prop50_rnk;native_count_rnk;newcomer_count_rnk;outgoer_count_rnk;total_researcher_count_rnk;native_percentage_rnk;newcomer_percentage_rnk;outgoer_percentage_rnk
grid.270301.7;Whitehead Inst.  BioMed. Res.;US;United States;North America;Global North;42.3631;-71.0895;4;Facility;1831;8452.060;4.616;0.143;0.904;0.350;0.351;0.476;0.626;0.836;189;618;240;1047;18.052;59.026;22.923;2797;1181;1;255;1433;1;1;1;1;2;2842;2118;2427;2902;2504;583;900
grid.66859.34;Broad Inst.;US;United States;North America;Global North;42.3679;-71.087;7;Nonprofit;10071;44157.800;4.385;0.116;0.964;0.557;0.321;0.445;0.599;0.829;1115;3331;566;5012;22.247;66.461;11.293;805;217;2;35;341;2;2;2;3;3;1221;389;1225;679;2313;297;2792
grid.225360.0;European Bioinmatics Inst.;GB;United Kingdom;Europe;Global North;52.0799;0.186736;4;Facility;2942;12300.500;4.181;0.091;0.842;0.725;0.240;0.345;0.501;0.771;293;1106;242;1641;17.855;67.398;14.747;2303;844;3;634;51;5;8;10;10;11;2625;1274;2417;2046;2511;267;2422
grid.10306.34;Wellcome Sanger Inst.;GB;United Kingdom;Europe;Global North;52.0799;0.185566;7;Nonprofit;6570;24246.500;3.690;0.094;0.904;0.730;0.253;0.373;0.526;0.778;563;1694;461;2718;20.714;62.325;16.961;1195;450;4;255;46;4;6;7;6;9;2084;848;1529;1301;2379;454;2091
grid.270683.8;Wellcome Ctr.  Human Genetics;GB;United Kingdom;Europe;Global North;51.7519;-1.21524;4;Facility;3210;11575.600;3.606;0.088;0.936;0.713;0.254;0.375;0.520;0.794;172;872;229;1273;13.511;68.500;17.989;2189;892;5;112;58;7;5;6;7;5;2885;1609;2490;2523;2729;241;1897
grid.413575.1;Howard Hughes Med. Inst.;US;United States;North America;Global North;39.0218;-77.1563;7;Nonprofit;6687;23937.400;3.580;0.101;0.964;0.371;0.296;0.428;0.607;0.845;241;2902;255;3398;7.092;85.403;7.504;1175;456;6;35;1299;3;3;3;2;1;2745;459;2335;1031;2979;8;2981
grid.225279.9;Cold Spring Harbor Laboratory;US;United States;North America;Global North;40.8619;-73.4672;7;Nonprofit;2609;8877.920;3.403;0.090;0.823;0.473;0.262;0.391;0.548;0.785;358;820;297;1475;24.271;55.593;20.136;2467;1119;7;787;719;6;4;4;5;7;2511;1692;2145;2235;2221;720;1474
grid.3575.4;World Health Organization;CH;Switzerland;Europe;Global North;46.2018;6.1466;5;Government;8766;28802.200;3.286;0.077;0.867;0.851;0.207;0.311;0.460;0.751;630;1855;405;2890;21.799;64.187;14.014;913;379;8;474;6;8;13;17;19;22;1941;769;1697;1211;2332;373;2517
grid.4709.a;European Molecular Biology Laboratory;DE;Germany;Europe;Global North;49.3845;8.71132;5;Government;3492;11464.600;3.283;0.074;0.838;0.677;0.207;0.319;0.476;0.761;290;1191;398;1879;15.434;63.385;21.182;2064;898;9;667;80;10;13;14;13;16;2633;1164;1713;1829;2631;409;1198
grid.249878.8;Gladstone Inst.s;US;United States;North America;Global North;37.7681;-122.394;7;Nonprofit;1712;5504.380;3.215;0.069;0.959;0.425;0.250;0.389;0.563;0.802;238;651;129;1018;23.379;63.949;12.672;2848;1679;10;45;1002;13;7;5;4;4;2755;2039;2938;2962;2255;381;2672
