grid_id;organization_name;country_code;country;latitude;longitude;native_count;newcomer_count;outgoer_count;total_researcher_count;native_percentage;newcomer_percentage;outgoer_percentage;organization_type_id;organization_type
grid.440473.0;Badji Mokhtar Univ.;DZ;Algeria;368.689;771.852;810;151;195;1156;70.069;13.062;16.869;3;Education
grid.80817.36;Tribhuvan Univ.;NP;Nepal;276.818;852.865;1047;576;514;2137;48.994;26.954;24.052;3;Education
grid.410356.5;Queen's Univ.;CA;Canada;442.255;-764.952;3374;4313;2140;9827;34.334;43.889;21.777;3;Education
grid.412078.8;Douglas Mental Health Univ. Inst.;CA;Canada;454.422;-735.854;215;585;202;1002;21.457;58.383;20.160;6;Healthcare
grid.55614.33;Agriculture  & Agriculture-Food Canada;CA;Canada;453.926;-757.166;1032;1729;440;3201;32.240;54.014;13.746;4;Facility
grid.42327.30;Hosp.  Sick Children;CA;Canada;436.577;-79.387;1810;5501;2052;9363;19.331;58.753;21.916;6;Healthcare
grid.17091.3e;Univ.  British Columbia;CA;Canada;492.607;-123.246;9762;14714;6665;31141;31.348;47.250;21.403;3;Education
grid.418363.b;Central Drug Res. Inst.;IN;India;269.432;809.393;784;334;635;1753;44.723;19.053;36.224;4;Facility
grid.216499.1;Jadavpur Univ.;IN;India;225.008;883.682;2328;781;1125;4234;54.984;18.446;26.571;3;Education
grid.418304.a;Bhabha Atomic Res. Ctr.;IN;India;190.156;729.241;2211;551;1164;3926;56.317;14.035;29.649;4;Facility
grid.412612.2;Siksha O Anus &han Univ.;IN;India;202.592;85.792;585;319;155;1059;55.241;30.123;14.636;3;Education
grid.411552.6;Mahatma G &hi Univ.;IN;India;964.816;765.064;993;441;233;1667;59.568;26.455;13.977;3;Education
grid.444321.4;Visvesvaraya Technological Univ.;IN;India;157.779;74.464;3073;1101;530;4704;65.327;23.406;11.267;3;Education
grid.444419.8;Natl. Inst.  Technology Durgapur;IN;India;235.505;872.907;606;256;283;1145;52.926;22.358;24.716;3;Education
grid.249566.a;Indonesian Inst.  Sciences;ID;Indonesia;-622.919;106.818;833;380;273;1486;56.057;25.572;18.372;4;Facility
grid.7548.e;Univ.  Modena  & Reggio Emilia;IT;Italy;446.319;109.442;1707;2003;1342;5052;33.789;39.648;26.564;3;Education
grid.416651.1;Istituto Superiore di Sanità;IT;Italy;419.039;125.185;984;1298;830;3112;31.620;41.710;26.671;5;Government
grid.419425.f;Policlinico San Matteo Fondazione;IT;Italy;451.961;914.881;345;1067;392;1804;19.124;59.146;21.730;6;Healthcare
grid.10383.39;Univ.  Parma;IT;Italy;447.971;103.087;1714;1627;1513;4854;35.311;33.519;31.170;3;Education
grid.8484.0;Univ.  Ferrara;IT;Italy;448.337;116.261;1284;1580;1191;4055;31.665;38.964;29.371;3;Education
grid.414818.0;Fondazione IRCCS Ca' Gr &a Ospedale Maggiore Policlinico;IT;Italy;454.587;919.766;563;1947;532;3042;18.508;64.004;17.489;6;Healthcare
grid.412804.b;Toyohashi Univ.  Technology;JP;Japan;347.017;137.409;961;423;253;1637;58.705;25.840;15.455;3;Education
grid.419152.a;Shibaura Inst.  Technology;JP;Japan;356.619;139.795;619;346;112;1077;57.475;32.126;10.399;3;Education
grid.419819.c;NTT (Japan);JP;Japan;356.895;139.753;1195;612;405;2212;54.024;27.667;18.309;2;Company
grid.136594.c;Tokyo Univ.  Agriculture  & Technology;JP;Japan;35.684;139.479;1945;1238;824;4007;48.540;30.896;20.564;3;Education
grid.258269.2;Juntendo Univ.;JP;Japan;357.022;139.761;1628;1921;1092;4641;35.079;41.392;23.529;3;Education
grid.258333.c;Kagoshima Univ.;JP;Japan;315.718;130.546;1950;1307;870;4127;47.250;31.670;21.081;3;Education
grid.258799.8;Kyoto Univ.;JP;Japan;350.262;135.78;10568;9476;7701;27745;38.090;34.154;27.756;3;Education
grid.418042.b;Astellas Pharma (Japan);JP;Japan;356.915;139.776;645;201;155;1001;64.436;20.080;15.485;2;Company
grid.411790.a;Iwate Med. Univ.;JP;Japan;397.054;141.151;836;490;199;1525;54.820;32.131;13.049;3;Education
grid.278276.e;K?chi Univ.;JP;Japan;335.947;133.613;744;770;366;1880;39.575;40.957;19.468;3;Education
grid.47716.33;Nagoya Inst.  Technology;JP;Japan;351.567;136.925;1565;631;351;2547;61.445;24.774;13.781;3;Education
grid.63906.3a;Natl. Ctr.  Child Health  & Development;JP;Japan;356.338;139.613;364;766;253;1383;26.320;55.387;18.294;5;Government
grid.410781.b;Kurume Univ.;JP;Japan;333.287;130.511;955;700;517;2172;43.969;32.228;23.803;3;Education
grid.410795.e;Natl. Inst.  Infectious Diseases;JP;Japan;357.048;139.717;326;929;293;1548;21.059;60.013;18.928;5;Government
grid.5640.7;Linköping Univ.;SE;Sweden;583.981;155.741;2290;2866;1503;6659;34.390;43.040;22.571;3;Education
grid.4714.6;Karolinska Inst.;SE;Sweden;59.348;180.223;4113;12230;5112;21455;19.170;57.003;23.827;3;Education
grid.8993.b;Uppsala Univ.;SE;Sweden;598.511;17.63;4206;7294;3373;14873;28.279;49.042;22.679;3;Education
grid.4514.4;Lund Univ.;SE;Sweden;557.132;131.935;5092;7716;3963;16771;30.362;46.008;23.630;3;Education
grid.412789.1;Univ.  Sharjah;AE;United Arab Emirates;252.875;554.769;389;520;106;1015;38.325;51.232;10.443;3;Education
grid.416153.4;Royal Melbourne Hosp.;AU;Australia;-377.988;144.956;449;1582;638;2669;16.823;59.273;23.904;6;Healthcare
grid.416060.5;Monash Med. Ctr.;AU;Australia;-379.198;145.122;156;1049;366;1571;9.930;66.773;23.297;6;Healthcare
grid.1005.4;UNSW Sydney;AU;Australia;-339.177;151.231;6252;10076;4194;20522;30.465;49.099;20.437;3;Education
grid.13797.3b;Åbo Akademi Univ.;FI;Finland;60.451;222.799;730;783;470;1983;36.813;39.486;23.702;3;Education
grid.5373.2;Aalto Univ.;FI;Finland;601.867;248.277;2646;2429;1584;6659;39.736;36.477;23.787;3;Education
grid.440792.c;Hanoi Univ.  Science  & Technology;VN;Vietnam;210.056;105.841;771;604;342;1717;44.904;35.178;19.919;3;Education
grid.440568.b;Khalifa Univ.  Science  & Technology;AE;United Arab Emirates;244.479;543.949;795;1010;309;2114;37.606;47.777;14.617;3;Education
grid.1007.6;Univ.  Wollongong;AU;Australia;-344.051;150.878;2125;2182;1089;5396;39.381;40.437;20.182;3;Education
grid.1011.1;James Cook Univ.;AU;Australia;-193.278;146.758;1318;1761;825;3904;33.760;45.108;21.132;3;Education
grid.1022.1;Griffith Univ.;AU;Australia;-274.706;153.023;2469;3225;1130;6824;36.181;47.260;16.559;3;Education
